time_id,data_id,system.code,station.code,date,time,depth (m),T (C),SC (uS/cm),pH,DOx (mg/L),Tn (NTU),ORP (mV),Chl (ug/L)
1139507,1320915,OSWR,B143,7/11/2008,17:01:00,4.6,24.78,,7.55,,,,
1139508,1320916,OSWR,B143,7/11/2008,19:01:00,4.6,24.78,,7.54,,,,
1139509,1320917,OSWR,B143,7/11/2008,21:01:00,4.6,24.7,,7.51,,,,
1139510,1320918,OSWR,B143,7/11/2008,23:01:00,4.6,24.81,,7.58,,,,
1139511,1320919,OSWR,B143,7/12/2008,1:01:00,4.6,24.73,,7.57,,,,
1139512,1320920,OSWR,B143,7/12/2008,3:01:00,4.6,24.61,,7.55,,,,
1139513,1320921,OSWR,B143,7/12/2008,5:01:00,4.6,24.51,,7.54,,,,
1139514,1320922,OSWR,B143,7/12/2008,7:01:00,4.6,24.38,,7.53,,,,
1139515,1320923,OSWR,B143,7/12/2008,9:01:00,4.5,24.41,,7.54,,,,
1139516,1320924,OSWR,B143,7/12/2008,11:01:00,4.5,24.4,,7.53,,,,
1139517,1320925,OSWR,B143,7/12/2008,13:01:00,4.5,24.48,,7.55,,,,
1139518,1320926,OSWR,B143,7/12/2008,15:01:00,4.5,24.51,,7.55,,,,
1139519,1320927,OSWR,B143,7/12/2008,17:01:00,4.5,24.8,,7.58,,,,
1139520,1320928,OSWR,B143,7/12/2008,19:01:00,4.5,24.91,,7.58,,,,
1139521,1320929,OSWR,B143,7/12/2008,21:01:00,4.5,24.95,,7.58,,,,
1139522,1320930,OSWR,B143,7/12/2008,23:01:00,4.5,24.98,,7.58,,,,
1139523,1320931,OSWR,B143,7/13/2008,1:01:00,4.5,24.91,,7.57,,,,
1139524,1320932,OSWR,B143,7/13/2008,3:01:00,4.5,24.91,,7.58,,,,
1139525,1320933,OSWR,B143,7/13/2008,5:01:00,4.4,24.65,,7.53,,,,
1139526,1320934,OSWR,B143,7/13/2008,7:01:00,4.4,24.89,,7.54,,,,
1139527,1320935,OSWR,B143,7/13/2008,9:01:00,4.4,24.91,,7.55,,,,
1139528,1320936,OSWR,B143,7/13/2008,11:01:00,4.4,24.96,,7.54,,,,
1139529,1320937,OSWR,B143,7/13/2008,13:01:00,4.4,24.96,,7.55,,,,
1139530,1320938,OSWR,B143,7/13/2008,15:01:00,4.4,24.94,,7.55,,,,
1139531,1320939,OSWR,B143,7/13/2008,17:01:00,4.4,24.88,,7.56,,,,
1139532,1320940,OSWR,B143,7/13/2008,19:01:00,4.4,24.86,,7.54,,,,
1139533,1320941,OSWR,B143,7/13/2008,21:01:00,4.4,24.82,,7.55,,,,
1139534,1320942,OSWR,B143,7/13/2008,23:01:00,4.4,24.79,,7.54,,,,
1139535,1320943,OSWR,B143,7/14/2008,1:01:00,4.4,24.77,,7.55,,,,
1139536,1320944,OSWR,B143,7/14/2008,3:01:00,4.4,24.8,,7.58,,,,
1139537,1320945,OSWR,B143,7/14/2008,5:01:00,4.5,24.81,,7.58,,,,
1139538,1320946,OSWR,B143,7/14/2008,7:01:00,4.5,24.78,,7.59,,,,
1139539,1320947,OSWR,B143,7/14/2008,9:01:00,4.5,24.79,,7.6,,,,
1139540,1320948,OSWR,B143,7/14/2008,11:01:00,4.5,24.77,,7.58,,,,
1139541,1320949,OSWR,B143,7/14/2008,13:01:00,4.5,24.82,,7.57,,,,
1139542,1320950,OSWR,B143,7/14/2008,15:01:00,4.5,24.77,,7.57,,,,
1139543,1320951,OSWR,B143,7/14/2008,17:01:00,4.5,24.67,,7.55,,,,
1139544,1320952,OSWR,B143,7/14/2008,19:01:00,4.5,24.74,,7.56,,,,
1139545,1320953,OSWR,B143,7/14/2008,21:01:00,4.5,24.82,,7.56,,,,
1139546,1320954,OSWR,B143,7/14/2008,23:01:00,4.5,24.89,,7.57,,,,
1139547,1320955,OSWR,B143,7/15/2008,1:01:00,4.5,24.86,,7.56,,,,
1139548,1320956,OSWR,B143,7/15/2008,3:01:00,4.5,24.85,,7.57,,,,
1139549,1320957,OSWR,B143,7/15/2008,5:01:00,4.5,24.76,,7.55,,,,
1139550,1320958,OSWR,B143,7/15/2008,7:01:00,4.6,24.64,,7.52,,,,
1139551,1320959,OSWR,B143,7/15/2008,9:01:00,4.6,24.61,,7.51,,,,
1139552,1320960,OSWR,B143,7/15/2008,11:01:00,4.6,24.61,,7.51,,,,
1139553,1320961,OSWR,B143,7/15/2008,13:01:00,4.6,24.68,,7.52,,,,
1139554,1320962,OSWR,B143,7/15/2008,15:01:00,4.6,24.73,,7.53,,,,
1139555,1320963,OSWR,B143,7/15/2008,17:01:00,4.6,24.86,,7.55,,,,
1139556,1320964,OSWR,B143,7/15/2008,19:01:00,4.6,24.92,,7.55,,,,
1139557,1320965,OSWR,B143,7/15/2008,21:01:00,4.6,24.97,,7.55,,,,
1139558,1320966,OSWR,B143,7/15/2008,23:01:00,4.6,25.05,,7.56,,,,
1139559,1320967,OSWR,B143,7/16/2008,1:01:00,4.6,25.11,,7.54,,,,
1139560,1320968,OSWR,B143,7/16/2008,3:01:00,4.6,25.28,,7.61,,,,
1139561,1320969,OSWR,B143,7/16/2008,5:01:00,4.6,25.12,,7.59,,,,
1139562,1320970,OSWR,B143,7/16/2008,7:01:00,4.6,25.04,,7.58,,,,
1139563,1320971,OSWR,B143,7/16/2008,9:01:00,4.6,25.03,,7.57,,,,
1139564,1320972,OSWR,B143,7/16/2008,11:01:00,4.6,25.05,,7.57,,,,
1139565,1320973,OSWR,B143,7/16/2008,13:01:00,4.6,25.11,,7.57,,,,
1139566,1320974,OSWR,B143,7/16/2008,15:01:00,4.6,25.1,,7.56,,,,
1139567,1320975,OSWR,B143,7/16/2008,17:01:00,4.6,25.15,,7.57,,,,
1139568,1320976,OSWR,B143,7/16/2008,19:01:00,4.6,25.06,,7.55,,,,
1139569,1320977,OSWR,B143,7/16/2008,21:01:00,4.6,25.01,,7.52,,,,
1139570,1320978,OSWR,B143,7/16/2008,23:01:00,4.6,25.08,,7.52,,,,
1139571,1320979,OSWR,B143,7/17/2008,1:01:00,4.6,25.36,,7.54,,,,
1139572,1320980,OSWR,B143,7/17/2008,3:01:00,4.6,25.41,,7.54,,,,
1139573,1320981,OSWR,B143,7/17/2008,5:01:00,4.6,25.48,,7.58,,,,
1139574,1320982,OSWR,B143,7/17/2008,7:01:00,4.6,25.36,,7.56,,,,
1139575,1320983,OSWR,B143,7/17/2008,9:01:00,4.6,25.32,,7.58,,,,
1139576,1320984,OSWR,B143,7/17/2008,11:01:00,4.6,25.26,,7.56,,,,
1139577,1320985,OSWR,B143,7/17/2008,13:01:00,4.6,25.22,,7.54,,,,
1139578,1320986,OSWR,B143,7/17/2008,15:01:00,4.6,25.29,,7.54,,,,
1139579,1320987,OSWR,B143,7/17/2008,17:01:00,4.6,25.34,,7.54,,,,
1139580,1320988,OSWR,B143,7/17/2008,19:01:00,4.6,25.33,,7.54,,,,
1139581,1320989,OSWR,B143,7/17/2008,21:01:00,4.6,25.34,,7.54,,,,
1139582,1320990,OSWR,B143,7/17/2008,23:01:00,4.6,25.33,,7.53,,,,
1139583,1320991,OSWR,B143,7/18/2008,1:01:00,4.6,25.34,,7.53,,,,
1139584,1320992,OSWR,B143,7/18/2008,3:01:00,4.6,25.37,,7.54,,,,
1139585,1320993,OSWR,B143,7/18/2008,5:01:00,4.6,25.37,,7.54,,,,
1139586,1320994,OSWR,B143,7/18/2008,7:01:00,4.6,25.43,,7.53,,,,
1139587,1320995,OSWR,B143,7/18/2008,9:01:00,4.6,25.49,,7.54,,,,
1139588,1320996,OSWR,B143,7/18/2008,11:01:00,4.5,25.57,,7.54,,,,
1139589,1320997,OSWR,B143,7/18/2008,13:01:00,4.5,25.61,,7.53,,,,
1139590,1320998,OSWR,B143,7/18/2008,15:01:00,4.5,25.65,,7.54,,,,
1139591,1320999,OSWR,B143,7/18/2008,17:01:00,4.5,25.75,,7.56,,,,
1139592,1321000,OSWR,B143,7/18/2008,19:01:00,4.5,25.68,,7.54,,,,
1139593,1321001,OSWR,B143,7/18/2008,21:01:00,4.5,25.65,,7.53,,,,
1139594,1321002,OSWR,B143,7/19/2008,1:01:00,4.5,25.72,,7.52,,,,
1139595,1321003,OSWR,B143,7/19/2008,7:01:00,4.5,25.86,,7.51,,,,
1139596,1321004,OSWR,B143,7/19/2008,9:01:00,4.5,25.86,,7.52,,,,
1139597,1321005,OSWR,B143,7/19/2008,11:01:00,4.5,25.92,,7.54,,,,
1139598,1321006,OSWR,B143,7/19/2008,15:01:00,4.5,26.01,,7.54,,,,
1139599,1321007,OSWR,B143,7/19/2008,19:01:00,4.5,26.02,,7.51,,,,
1139600,1321008,OSWR,B143,7/19/2008,21:01:00,4.5,26.2,,7.52,,,,
1139601,1321009,OSWR,B143,7/19/2008,23:01:00,4.5,26.32,,7.53,,,,
1139602,1321010,OSWR,B143,7/20/2008,1:01:00,4.5,26.4,,7.54,,,,
1139603,1321011,OSWR,B143,7/20/2008,3:01:00,4.5,26.46,,7.56,,,,
1139604,1321012,OSWR,B143,7/20/2008,5:01:00,4.5,26.47,,7.6,,,,
1139605,1321013,OSWR,B143,7/20/2008,7:01:00,4.5,26.41,,7.57,,,,
1139606,1321014,OSWR,B143,7/20/2008,9:01:00,4.5,26.37,,7.58,,,,
1139607,1321015,OSWR,B143,7/20/2008,11:01:00,4.5,26.24,,7.56,,,,
1139608,1321016,OSWR,B143,7/20/2008,13:01:00,4.5,26.17,,7.54,,,,
1139609,1321017,OSWR,B143,7/20/2008,15:01:00,4.5,26.11,,7.51,,,,
1139610,1321018,OSWR,B143,7/20/2008,17:01:00,4.5,26.13,,7.53,,,,
1139611,1321019,OSWR,B143,7/20/2008,19:01:00,4.5,26.15,,7.56,,,,
1139612,1321020,OSWR,B143,7/20/2008,21:01:00,4.5,26.16,,7.56,,,,
1139613,1321021,OSWR,B143,7/20/2008,23:01:00,4.5,26.19,,7.57,,,,
1139614,1321022,OSWR,B143,7/21/2008,1:01:00,4.5,26.18,,7.58,,,,
1139615,1321023,OSWR,B143,7/21/2008,3:01:00,4.5,26.08,,7.58,,,,
1139616,1321024,OSWR,B143,7/21/2008,5:01:00,4.5,25.93,,7.53,,,,
1139617,1321025,OSWR,B143,7/21/2008,7:01:00,4.5,25.84,,7.53,,,,
1139618,1321026,OSWR,B143,7/21/2008,9:01:00,4.5,25.77,,7.52,,,,
1139619,1321027,OSWR,B143,7/21/2008,11:01:00,4.5,25.76,,7.52,,,,
1139620,1321028,OSWR,B143,7/21/2008,13:01:00,4.5,25.76,,7.53,,,,
1139621,1321029,OSWR,B143,7/21/2008,15:01:00,4.5,25.78,,7.54,,,,
1139622,1321030,OSWR,B143,7/21/2008,17:01:00,4.5,25.86,,7.55,,,,
1139623,1321031,OSWR,B143,7/21/2008,19:01:00,4.4,25.96,,7.55,,,,
1139624,1321032,OSWR,B143,7/21/2008,21:01:00,4.5,25.97,,7.54,,,,
1139625,1321033,OSWR,B143,7/21/2008,23:01:00,4.5,25.95,,7.53,,,,
1139626,1321034,OSWR,B143,7/22/2008,1:01:00,4.5,25.93,,7.55,,,,
1139627,1321035,OSWR,B143,7/22/2008,3:01:00,4.5,25.89,,7.57,,,,
1139628,1321036,OSWR,B143,7/22/2008,5:01:00,4.5,25.84,,7.58,,,,
1139629,1321037,OSWR,B143,7/22/2008,7:01:00,4.5,25.79,,7.58,,,,
1139630,1321038,OSWR,B143,7/22/2008,9:01:00,4.5,25.79,,7.59,,,,
1139631,1321039,OSWR,B143,7/22/2008,11:01:00,4.5,25.82,,7.59,,,,
1139632,1321040,OSWR,B143,7/22/2008,15:01:00,4.5,25.8,,7.53,,,,
1139633,1321041,OSWR,B143,7/22/2008,17:01:00,4.5,25.82,,7.51,,,,
1139634,1321042,OSWR,B143,7/22/2008,19:01:00,4.5,25.83,,7.5,,,,
1139635,1321043,OSWR,B143,7/22/2008,21:01:00,4.5,25.81,,7.49,,,,
1139636,1321044,OSWR,B143,7/22/2008,23:01:00,4.5,25.78,,7.5,,,,
1139637,1321045,OSWR,B143,7/23/2008,1:01:00,4.5,25.75,,7.5,,,,
1139638,1321046,OSWR,B143,7/23/2008,3:01:00,4.5,25.74,,7.52,,,,
1139639,1321047,OSWR,B143,7/23/2008,5:01:00,4.5,25.73,,7.53,,,,
1139640,1321048,OSWR,B143,7/23/2008,7:01:00,4.5,25.68,,7.53,,,,
1139641,1321049,OSWR,B143,7/23/2008,9:01:00,4.5,25.62,,7.52,,,,
1139642,1321050,OSWR,B143,7/23/2008,11:01:00,4.4,25.63,,7.52,,,,
1139643,1321051,OSWR,B143,7/23/2008,13:01:00,4.5,25.63,,7.5,,,,
1139644,1321052,OSWR,B143,7/23/2008,19:01:00,4.5,25.6,,7.47,,,,
1139645,1321053,OSWR,B143,7/23/2008,21:01:00,4.5,25.57,,7.47,,,,
1139646,1321054,OSWR,B143,7/23/2008,23:01:00,4.5,25.53,,7.49,,,,
1139647,1321055,OSWR,B143,7/24/2008,1:01:00,4.5,25.5,,7.5,,,,
1139648,1321056,OSWR,B143,7/24/2008,3:01:00,4.5,25.46,,7.51,,,,
1139649,1321057,OSWR,B143,7/24/2008,7:01:00,4.5,25.28,,7.5,,,,
1139650,1321058,OSWR,B143,7/24/2008,9:01:00,4.5,25.18,,7.49,,,,
1139651,1321059,OSWR,B143,7/24/2008,15:01:00,4.6,24.94,729,7.57,7.07,2.6,,1.1
1139652,1321060,OSWR,B143,7/24/2008,17:01:00,4.6,24.86,715,7.58,7.09,3.5,,0.9
1139653,1321061,OSWR,B143,7/24/2008,19:01:00,4.6,24.66,701,7.6,7.18,3.2,,1.9
1139654,1321062,OSWR,B143,7/24/2008,23:01:00,4.6,24.5,693,7.61,7.23,2.6,,1
1139655,1321063,OSWR,B143,7/25/2008,1:01:00,4.6,24.5,690,7.62,7.31,11.9,,1.9
1139656,1321064,OSWR,B143,7/25/2008,5:01:00,4.6,24.34,687,7.62,7.16,3.8,,0.9
1139657,1321065,OSWR,B143,7/25/2008,7:01:00,4.5,24.23,683,7.61,7.07,4.5,,1.2
1139658,1321066,OSWR,B143,7/25/2008,9:01:00,4.6,24.16,679,7.59,6.99,3.6,,1.1
1139659,1321067,OSWR,B143,7/25/2008,11:01:00,4.6,24.13,676,7.59,6.99,3.8,,1.3
1139660,1321068,OSWR,B143,7/25/2008,13:01:00,4.6,24.21,673,7.59,7.02,4,,0.7
1139661,1321069,OSWR,B143,7/25/2008,17:01:00,4.6,24.69,661,7.64,7.44,3.9,,0.7
1139662,1321070,OSWR,B143,7/25/2008,19:01:00,4.4,24.83,643,7.67,7.71,3.9,,1
1139663,1321071,OSWR,B143,7/25/2008,21:01:00,4.5,24.84,631,7.71,7.96,5.8,,0.9
1139664,1321072,OSWR,B143,7/25/2008,23:01:00,4.4,24.86,632,7.74,8.08,4.8,,1.6
1139665,1321073,OSWR,B143,7/26/2008,1:01:00,4.2,24.79,631,7.74,8.06,3.6,,1.5
1139666,1321074,OSWR,B143,7/26/2008,3:01:00,4.3,24.68,627,7.74,8.02,4.8,,0.9
1139667,1321075,OSWR,B143,7/26/2008,5:01:00,4.4,24.6,623,7.73,7.95,7.1,,1.4
1139668,1321076,OSWR,B143,7/26/2008,7:01:00,4.3,24.51,619,7.71,7.85,6.5,,0.9
1139669,1321077,OSWR,B143,7/26/2008,9:01:00,4.3,24.48,612,7.71,7.8,6.1,,1.5
1139670,1321078,OSWR,B143,7/26/2008,11:01:00,4.3,24.51,601,7.71,7.88,5.7,,1.6
1139671,1321079,OSWR,B143,7/26/2008,15:01:00,4.5,24.58,579,7.71,8.06,5.4,,1.3
1139672,1321080,OSWR,B143,7/26/2008,17:01:00,4.3,24.67,575,7.72,8.14,4.1,,1.3
1139673,1321081,OSWR,B143,7/27/2008,1:01:00,4.1,24.62,575,7.75,8.18,4.5,,1.8
1139674,1321082,OSWR,B143,7/27/2008,3:01:00,4.2,24.57,578,7.74,8.04,5.1,,1.9
1139675,1321083,OSWR,B143,7/27/2008,5:01:00,4.2,24.47,581,7.72,7.88,63.2,,1.5
1139676,1321084,OSWR,B143,7/27/2008,7:01:00,4.2,24.39,583,7.7,7.76,47.8,,1.3
1139677,1321085,OSWR,B143,7/27/2008,9:01:00,4.4,24.36,588,7.68,7.66,89.8,,2.3
1139678,1321086,OSWR,B143,7/27/2008,11:01:00,4.3,24.4,598,7.69,7.75,,,1.7
1139679,1321087,OSWR,B143,7/27/2008,13:01:00,4.3,24.55,608,7.71,7.87,5.3,,1.8
1139680,1321088,OSWR,B143,7/27/2008,15:01:00,3.5,24.75,617,7.73,8.01,4.7,,0.9
1139681,1321089,OSWR,B143,7/27/2008,17:01:00,3.8,24.94,621,7.75,8.16,4.6,,1.8
1139682,1321090,OSWR,B143,7/27/2008,19:01:00,3.9,25.03,623,7.77,8.32,4,,1.7
1139683,1321091,OSWR,B143,7/27/2008,21:01:00,4,25.08,620,7.79,8.43,5.9,,1.4
1139684,1321092,OSWR,B143,7/27/2008,23:01:00,4.1,25.05,616,7.8,8.42,4.4,,1.1
1139685,1321093,OSWR,B143,7/28/2008,1:01:00,3.9,24.98,609,7.8,8.37,3.4,,2.1
1139686,1321094,OSWR,B143,7/28/2008,3:01:00,4,24.91,603,7.79,8.26,4.3,,1.8
1139687,1321095,OSWR,B143,7/28/2008,5:01:00,4.1,24.82,599,7.77,8.1,3.4,,1.1
1139688,1321096,OSWR,B143,7/28/2008,6:39:00,1.9,24.59,699,7.88,7.49,27.9,,7.1
1139689,1321097,OSWR,B143,7/28/2008,7:01:00,4.2,24.75,594,7.75,7.87,4.1,,1.4
1139690,1321098,OSWR,B143,7/28/2008,9:01:00,4.1,24.7,591,7.73,7.72,3.5,,1.8
1139691,1321099,OSWR,B143,7/28/2008,11:01:00,4.1,24.71,587,7.72,7.65,3.7,,0.8
1139692,1321100,OSWR,B143,7/28/2008,15:01:00,4.2,24.91,581,7.74,7.76,3.5,,0.3
1139693,1321101,OSWR,B143,7/28/2008,17:01:00,3.9,25.14,583,7.77,7.92,3.1,,1.4
1139694,1321102,OSWR,B143,7/28/2008,19:01:00,4.1,25.32,593,7.79,8.13,3,,2.3
1139695,1321103,OSWR,B143,7/28/2008,21:01:00,4.2,25.33,599,7.8,8.22,3.3,,0.9
1139696,1321104,OSWR,B143,7/28/2008,23:01:00,4.2,25.34,606,7.81,8.33,3.2,,1.9
1139697,1321105,OSWR,B143,7/29/2008,1:01:00,4.2,25.28,609,7.81,8.34,3.2,,1.4
1139698,1321106,OSWR,B143,7/29/2008,3:01:00,4.2,25.23,612,7.81,8.28,3,,0.9
1139699,1321107,OSWR,B143,7/29/2008,5:01:00,4.3,25.15,617,7.8,8.18,3.1,,1.5
1139700,1321108,OSWR,B143,7/29/2008,7:01:00,4.2,25.03,629,7.77,8.01,3.2,,1.6
1139701,1321109,OSWR,B143,7/29/2008,9:01:00,4.2,24.93,641,7.75,7.83,3.1,,1.6
1139702,1321110,OSWR,B143,7/29/2008,11:01:00,4.5,24.92,655,7.73,7.71,3.1,,0.9
1139703,1321111,OSWR,B143,7/29/2008,13:01:00,4.3,24.94,666,7.72,7.68,3.3,,1.2
1139704,1321112,OSWR,B143,7/29/2008,15:01:00,4.3,25.02,671,7.73,7.7,2.6,,1.1
1139705,1321113,OSWR,B143,7/29/2008,17:01:00,4.3,25.15,677,7.73,7.75,2.9,,1.5
1139706,1321114,OSWR,B143,7/29/2008,19:01:00,4.5,25.28,680,7.74,7.79,2.6,,0.7
1139707,1321115,OSWR,B143,7/29/2008,21:01:00,4.4,25.38,683,7.77,7.93,2.7,,1.6
1139708,1321116,OSWR,B143,7/29/2008,23:01:00,4.4,25.42,685,7.78,7.98,2.7,,1.8
1139709,1321117,OSWR,B143,7/30/2008,1:01:00,4.4,25.36,687,7.78,8.03,2.6,,1.7
1139710,1321118,OSWR,B143,7/30/2008,3:01:00,4.4,25.31,697,7.8,8.16,2.3,,1.7
1139711,1321119,OSWR,B143,7/30/2008,5:01:00,4.5,25.21,698,7.79,8.09,2.4,,1.4
1139712,1321120,OSWR,B143,7/30/2008,7:01:00,4.4,25.14,702,7.8,8.14,2,,1.2
1139713,1321121,OSWR,B143,7/30/2008,9:01:00,4.5,25.11,704,7.8,8.13,2.5,,1.6
1139714,1321122,OSWR,B143,7/30/2008,11:01:00,4.5,25.08,706,7.8,8.13,2.5,,1.8
1139715,1321123,OSWR,B143,7/30/2008,13:01:00,4.4,25.05,708,7.8,8.08,2.1,,1.7
1140250,1321681,OSWR,B143,7/30/2008,15:01:00,4.5,25.03,709,7.78,7.94,2.2,,1.5
1140252,1321683,OSWR,B143,7/30/2008,17:01:00,4.5,24.96,710,7.78,7.85,2.7,,1.7
1140254,1321685,OSWR,B143,7/30/2008,19:01:00,4.4,24.94,713,7.77,7.79,2.2,,2.1
1140256,1321687,OSWR,B143,7/30/2008,21:01:00,4.4,24.93,715,7.76,7.72,2.2,,1.5
1140257,1321688,OSWR,B143,7/30/2008,23:01:00,4.4,24.9,720,7.76,7.66,2.5,,2.3
1140261,1321692,OSWR,B143,7/31/2008,1:01:00,4.4,24.87,721,7.75,7.56,2.4,,1.3
1140262,1321693,OSWR,B143,7/31/2008,3:01:00,4.4,24.86,726,7.75,7.56,2.5,,2.4
1140263,1321694,OSWR,B143,7/31/2008,5:01:00,4.4,24.82,725,7.74,7.48,2.1,,1.7
1140265,1321696,OSWR,B143,7/31/2008,7:01:00,4.5,24.79,727,7.74,7.48,2.1,,1.1
1140267,1321698,OSWR,B143,7/31/2008,9:01:00,4.5,24.78,726,7.75,7.48,2.3,,0.9
1140641,1322092,OSWR,B143,7/31/2008,11:01:00,4.5,24.81,726,7.76,7.57,2.6,,1.5
1140643,1322094,OSWR,B143,7/31/2008,13:01:00,4.5,24.82,723,7.77,7.6,2.1,,0.9
1140645,1322096,OSWR,B143,7/31/2008,15:01:00,4.6,24.85,725,7.77,7.58,2.5,,1.7
1140647,1322099,OSWR,B143,7/31/2008,17:01:00,4.6,25.12,724,7.86,8.1,2.6,,1.5
1140650,1322101,OSWR,B143,7/31/2008,19:01:00,4.6,25.25,719,7.9,8.34,2,,2.4
1140652,1322102,OSWR,B143,7/31/2008,21:01:00,4.6,25.2,720,7.85,8.06,3.6,,3.1
1140653,1322104,OSWR,B143,7/31/2008,23:01:00,4.6,25.17,717,7.82,7.85,2,,3.4
1140655,1322106,OSWR,B143,8/1/2008,1:01:00,4.6,25.27,720,7.88,8.16,2.6,,3.3
1140656,1322107,OSWR,B143,8/1/2008,3:01:00,4.6,25.38,726,7.94,8.42,2.7,,3.9
1140657,1322108,OSWR,B143,8/1/2008,5:01:00,4.6,25.26,714,7.86,8.03,1.4,,2.6
1140658,1322109,OSWR,B143,8/1/2008,7:01:00,4.6,25.13,711,7.84,7.86,1.6,,2.4
1140659,1322110,OSWR,B143,8/1/2008,9:01:00,4.6,25.06,711,7.82,7.74,2.2,,1.8
1141371,1322806,OSWR,B143,8/1/2008,11:01:00,4.6,25.07,712,7.8,7.62,2,,1.4
1141373,1322808,OSWR,B143,8/1/2008,13:01:00,4.6,24.97,709,7.75,7.3,2,,1.4
1141375,1322810,OSWR,B143,8/1/2008,15:01:00,4.6,24.96,709,7.75,7.32,2,,1.6
1141377,1322812,OSWR,B143,8/1/2008,17:01:00,4.6,25.01,711,7.77,7.48,2.2,,1.7
1141379,1322814,OSWR,B143,8/1/2008,19:01:00,4.6,25.27,724,7.87,8.02,2,,1.9
1141382,1322817,OSWR,B143,8/1/2008,21:01:00,4.5,25.37,732,7.88,8.1,2,,1.4
1141383,1322818,OSWR,B143,8/1/2008,23:01:00,4.6,25.44,741,7.9,8.14,2,,1.6
1141385,1322820,OSWR,B143,8/2/2008,1:01:00,4.6,25.49,772,7.9,8.18,2.3,,2.6
1141387,1322822,OSWR,B143,8/2/2008,3:01:00,4.6,25.42,784,7.87,8.01,3,,2.1
1141389,1322824,OSWR,B143,8/2/2008,5:01:00,4.6,25.33,798,7.84,7.83,1.9,,2
1141390,1322825,OSWR,B143,8/2/2008,7:01:00,4.6,25.28,819,7.81,7.71,2,,2.1
1141392,1322827,OSWR,B143,8/2/2008,9:01:00,4.6,25.23,828,7.8,7.68,2,,1.5
1141789,1323194,OSWR,B143,8/2/2008,11:01:00,4.6,25.22,829,7.81,7.73,2.1,,1.1
1141790,1323195,OSWR,B143,8/2/2008,13:01:00,4.6,25.24,839,7.83,7.86,2.2,,1
1141791,1323196,OSWR,B143,8/2/2008,15:01:00,4.6,25.26,843,7.84,7.98,2.4,,1.9
1141792,1323197,OSWR,B143,8/2/2008,17:01:00,4.5,25.28,845,7.86,8.01,3.2,,1.9
1141793,1323198,OSWR,B143,8/2/2008,19:01:00,4.6,25.26,846,7.86,8,2.2,,1.6
1141794,1323199,OSWR,B143,8/2/2008,21:01:00,4.6,25.17,840,7.81,7.71,2.5,,1.9
1141795,1323200,OSWR,B143,8/2/2008,23:01:00,4.6,25.1,837,7.79,7.58,2.8,,2
1141796,1323201,OSWR,B143,8/3/2008,1:01:00,4.6,25.03,833,7.78,7.46,3,,2.1
